City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,dunedin,-45.8742,170.5036,289.3,99,94,4.02,NZ,1683422134
268,zaozersk,69.4005,32.4476,268.28,93,27,2.32,RU,1683422373
269,weno,7.4515,151.8468,304.12,79,40,2.06,FM,1683422373
270,aver-o-mar,41.4078,-8.7812,290.51,94,100,0.0,PT,1683422373
271,teocaltiche,21.4333,-102.5833,300.88,12,54,4.46,MX,1683422374
272,kapuskasing,49.4169,-82.4331,286.2,67,100,2.57,CA,1683422374
273,an nimas,19.1455,42.1201,291.0,54,100,1.15,SA,1683422375
274,sungai penuh,-2.0833,101.3833,292.19,99,100,1.41,ID,1683422375
275,sao gabriel da cachoeira,-0.1303,-67.0892,299.57,78,100,1.06,BR,1683422375
276,masterton,-40.9597,175.6575,292.53,71,100,0.61,NZ,1683422376
277,owando,-0.4819,15.8999,294.18,96,100,0.77,CG,1683422376
278,colchester,51.8892,0.9042,286.89,93,99,2.28,GB,1683422377
279,hami,42.8,93.45,284.88,38,99,4.96,CN,1683422377
280,chabahar,25.2919,60.643,300.24,74,0,3.13,IR,1683422378
281,barah,13.7,30.3667,302.25,8,90,4.9,SD,1683422338
282,shyryayeve,47.3805,30.1964,279.13,72,21,4.5,UA,1683422379
283,amungan,15.3652,119.9582,304.51,58,5,2.57,PH,1683422379
284,shenjiamen,29.9576,122.298,288.78,88,100,9.98,CN,1683422380
285,manokwari,-0.8667,134.0833,302.24,69,29,1.41,ID,1683422380
286,bunde,53.1833,7.2667,285.38,96,100,0.45,DE,1683422380
287,itamaraca,-7.7478,-34.8256,300.18,83,22,2.86,BR,1683422381
288,sonari,27.0667,95.0333,294.18,73,6,0.98,IN,1683422381
289,sukumo,32.9333,132.7333,292.65,99,100,1.72,JP,1683422382
290,nzega,-2.479,29.5564,285.88,96,80,1.28,RW,1683422382
291,salaqi,40.5414,110.5108,287.42,22,0,3.3,CN,1683422382
292,nova sintra,14.8667,-24.7167,292.8,79,0,10.95,CV,1683422383
293,chulym,55.0997,80.9572,289.71,38,57,1.41,RU,1683422383
294,miyazu,35.5333,135.1833,286.26,97,100,2.85,JP,1683422384
295,kone,-21.0595,164.8658,300.56,61,24,2.88,NC,1683422384
296,cassilandia,-19.1133,-51.7342,294.6,74,3,1.46,BR,1683422384
297,shimoda,34.6667,138.95,294.87,94,100,7.08,JP,1683422385
298,amurzet,47.6967,131.0981,291.37,21,10,3.41,RU,1683422385
299,tralee,52.2704,-9.7026,282.47,96,100,2.11,IE,1683422386
300,sesheke,-17.4759,24.2968,288.56,53,0,2.54,ZM,1683422387
301,punta alta,-38.8759,-62.0736,288.75,60,100,3.42,AR,1683422191
302,udaipura,23.0833,78.5,302.98,38,99,0.81,IN,1683422388
303,grootfontein,-19.5667,18.1167,291.43,35,51,2.75,NA,1683422388
304,ruidoso,33.3317,-105.673,294.79,12,0,8.75,US,1683422175
305,nyurba,63.2842,118.3319,271.66,88,100,5.89,RU,1683422389
306,san juan del sur,11.2529,-85.8705,303.0,61,99,9.91,NI,1683422390
307,les cayes,18.2,-73.75,297.27,78,26,1.88,HT,1683422390
308,gaalkacyo,6.7697,47.4308,299.31,75,78,5.95,SO,1683422390
309,marka,1.7159,44.7717,299.82,81,8,6.09,SO,1683422391
310,klyuchi,52.2667,79.1667,288.5,45,0,2.73,RU,1683422391
311,richards bay,-28.783,32.0377,295.96,80,44,4.58,ZA,1683422392
312,lebu,-37.6167,-73.65,284.78,93,13,5.41,CL,1683422392
313,dudinka,69.4058,86.1778,257.25,99,100,0.19,RU,1683422392
314,katsuren-haebaru,26.3369,127.8719,300.36,83,40,7.2,JP,1683422393
315,hammerfest,70.6634,23.6821,274.4,75,100,1.54,NO,1683422394
316,gioiosa ionica,38.3222,16.3026,288.58,59,0,3.04,IT,1683422394
317,bangkalan,-7.0455,112.7351,302.12,83,99,1.44,ID,1683422394
318,kosterevo,55.9299,39.6144,270.74,80,5,2.29,RU,1683422395
319,onega,63.9061,38.1404,269.8,93,16,2.04,RU,1683422395
320,yuzhno-kurilsk,44.0306,145.8556,278.66,62,6,1.01,RU,1683422396
321,nova xavantina,-14.6667,-52.35,296.41,71,32,1.41,BR,1683422396
322,axim,4.8699,-2.2405,298.14,87,98,1.72,GH,1683422396
323,alofi,-19.0595,-169.9187,299.09,89,48,2.57,NU,1683422397
324,sindos,40.6704,22.8055,291.5,70,67,0.37,GR,1683422397
325,wuchuan,21.4571,110.7659,301.1,86,96,6.22,CN,1683422398
326,maputo,-25.9653,32.5892,295.5,79,14,3.48,MZ,1683422398
327,ampanihy,-24.7,44.75,291.8,84,11,1.84,MG,1683422398
328,usinsk,65.9939,57.5281,268.13,84,100,11.89,RU,1683422399
329,kendari,-3.945,122.4989,302.2,71,97,1.57,ID,1683422149
330,uchiza,-8.4592,-76.4633,294.67,98,18,1.15,PE,1683422400
331,ixtapa,20.7,-105.2,300.5,78,0,3.6,MX,1683422400
332,chibougamau,49.9168,-74.3659,285.94,38,0,3.6,CA,1683422400
333,woolgoolga,-30.1106,153.2007,295.95,36,22,3.6,AU,1683422401
334,las khorey,11.1595,48.1967,303.74,64,100,1.49,SO,1683422401
335,loudeac,48.1783,-2.7543,286.19,98,70,1.57,FR,1683422402
336,nyaunglebin,17.95,96.7333,303.67,66,62,3.73,MM,1683422403
337,conduaga,8.862,117.4893,299.88,79,100,3.6,PH,1683422404
338,mount gambier,-37.8333,140.7667,283.94,59,96,3.88,AU,1683422405
